"","nearest_coarse_block","BBA_ID","Lat1","Lon1","Forest1","Elev1","Lat2","Lon2","Forest2","Elev2","Lat3","Lon3","Forest3","Elev3","Lat4","Lon4","Forest4","Elev4","Centroid_ID","nearest_block_BBA_ID","Cell","eLists","eHours","eKM","eHA","eNumObs","eCount","total.eLists","total.eHours.x","total.eNumObs","total.eCount.x","avg.eCount","avg.eHours"
"19",6,"96B21",39.85416667,-75.21875,0.133333333,NA,39.875,-75.1875,0.365219638,NA,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,19,19,4605,0,0,0,0,0,0,0,0,0,0,0,4.63333333333333
"20",6,"96A25",39.89583333,-75.21875,0.5,NA,39.875,-75.1875,0.365219638,NA,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,20,20,4519,1,1.5,0,40.4686,1,0,1,1.5,1,0,0,4.63333333333333
"21",6,"96A26",39.89583333,-75.15625,0.462325581,NA,39.875,-75.1875,0.365219638,NA,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,21,21,4518,17,12.4,6.357,0,19,0,17,12.4,19,0,0,4.63333333333333
"22",7,"96A22",39.97916667,-75.15625,0.370858434,NA,39.95833333,-75.1875,0.261895583,26.77130814,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,22,22,4344,2,2.58,3.619,0,9,0,2,2.58,9,0,0,6.9825
"23",7,"96A23",39.9375,-75.21875,0.238329686,14.51009893,39.95833333,-75.1875,0.261895583,26.77130814,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,24,24,4432,1,0.5,0,0,1,0,1,0.5,1,0,0,6.9825
"24",7,"96A21",39.97916667,-75.21875,0.259046385,39.03251734,39.95833333,-75.1875,0.261895583,26.77130814,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,25,25,4345,14,13.01,8.05,5.7321,2,0,14,13.01,2,0,0,6.9825
"25",7,"96A24",39.9375,-75.15625,0.179347826,NA,39.95833333,-75.1875,0.261895583,26.77130814,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,26,26,4431,9,11.84,2.655,0,10,0,9,11.84,10,0,0,6.9825
"26",8,"96A31",39.97916667,-75.09375,0.051823417,NA,39.95833333,-75.0625,0.051823417,NA,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,23,23,4343,0,0,0,0,0,0,0,0,0,0,0,0
"27",9,"95A65",39.89583333,-75.59375,0.60041269,97.6677146,39.875,-75.5625,0.397236705,102.2059597,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,27,27,4528,0,0,0,0,0,0,0,0,0,0,0,2.395
"28",9,"95A66",39.89583333,-75.53125,0.188900251,106.7442047,39.875,-75.5625,0.397236705,102.2059597,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,41,41,4526,2,0.42,0,0,5,0,2,0.42,5,0,0,2.395
"29",9,"95B62",39.85416667,-75.53125,0.098838043,NA,39.875,-75.5625,0.397236705,102.2059597,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,43,43,4612,0,0,0,0,0,0,0,0,0,0,0,2.395
"30",9,"95B61",39.85416667,-75.59375,0.700795837,NA,39.875,-75.5625,0.397236705,102.2059597,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,31,31,4614,8,9.16,6.437,20.2343,10,0,8,9.16,10,0,0,2.395
"31",10,"95A62",39.97916667,-75.53125,0.175117349,121.7624512,39.95833333,-75.5625,0.412682548,119.5404979,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,29,29,4352,6,2.15,2.011,2.0234,12,0,6,2.15,12,0,0,8.975
"32",10,"95A64",39.9375,-75.53125,0.17076344,106.612586,39.95833333,-75.5625,0.412682548,119.5404979,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,36,36,4439,0,0,0,0,0,0,0,0,0,0,0,8.975
"33",10,"95A63",39.9375,-75.59375,0.781020398,112.303389,39.95833333,-75.5625,0.412682548,119.5404979,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,28,28,4441,0,0,0,0,0,0,0,0,0,0,0,8.975
"34",10,"95A61",39.97916667,-75.59375,0.523829004,137.4835653,39.95833333,-75.5625,0.412682548,119.5404979,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,30,30,4354,37,33.75,21.727,0.8094,28,0,37,33.75,28,0,0,8.975
"35",11,"95B51",39.85416667,-75.71875,0.662757009,108.2917143,39.875,-75.6875,0.652041611,108.576172,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,34,34,4618,2,5.66,9.656,0,6,0,2,5.66,6,0,0,28.8725
"36",11,"95A55",39.89583333,-75.71875,0.72710214,121.7845404,39.875,-75.6875,0.652041611,108.576172,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,32,32,4532,0,0,0,0,0,0,0,0,0,0,0,28.8725
"37",11,"95A56",39.89583333,-75.65625,0.361025641,98.68283892,39.875,-75.6875,0.652041611,108.576172,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,33,33,4530,13,28.5,13.677,4.0469,54,0,13,28.5,54,0,0,28.8725
"38",11,"95B52",39.85416667,-75.65625,0.857281653,105.5455942,39.875,-75.6875,0.652041611,108.576172,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,42,42,4616,43,81.33,110.962,0,449,0,43,81.33,449,0,0,28.8725
"39",12,"94A41",39.97916667,-75.84375,0.832875789,161.2525722,39.95833333,-75.8125,0.585984192,141.8835105,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,35,35,4362,0,0,0,0,0,0,0,0,0,0,0,0
"40",12,"94A43",39.9375,-75.84375,0.446617373,134.9358263,39.95833333,-75.8125,0.585984192,141.8835105,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,66,66,4449,0,0,0,0,0,0,0,0,0,0,0,0
"41",12,"95A42",39.97916667,-75.78125,0.197560976,152.7759923,39.95833333,-75.8125,0.585984192,141.8835105,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,63,63,4360,0,0,0,0,0,0,0,0,0,0,0,0
"42",12,"95A44",39.9375,-75.78125,0.866882631,118.5696513,39.95833333,-75.8125,0.585984192,141.8835105,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,65,65,4447,0,0,0,0,0,0,0,0,0,0,0,0
"43",13,"95A53",39.9375,-75.71875,0.569819137,92.85807419,39.95833333,-75.6875,0.443749571,99.12736687,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,38,38,4445,4,4.41,4.426,0,5,0,4,4.41,5,0,0,2.8925
"44",13,"95A51",39.97916667,-75.71875,0.485864926,112.7768587,39.95833333,-75.6875,0.443749571,99.12736687,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,39,39,4358,0,0,0,0,0,0,0,0,0,0,0,2.8925
"45",13,"95A54",39.9375,-75.65625,0.396945489,93.61332607,39.95833333,-75.6875,0.443749571,99.12736687,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,40,40,4443,1,1.08,2.977,0,1,0,1,1.08,1,0,0,2.8925
"46",13,"95A52",39.97916667,-75.65625,0.322368732,97.26120853,39.95833333,-75.6875,0.443749571,99.12736687,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,37,37,4356,4,6.08,14.081,16.1876,9,0,4,6.08,9,0,0,2.8925
"47",14,"94B41",39.85416667,-75.84375,0.321231484,149.0325165,39.875,-75.8125,0.59879464,132.9590624,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,68,68,4622,0,0,0,0,0,0,0,0,0,0,0,3.165
"48",14,"94A45",39.89583333,-75.84375,0.904940588,138.8019257,39.875,-75.8125,0.59879464,132.9590624,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,44,44,4536,10,9.24,16.496,0,21,0,10,9.24,21,0,0,3.165
"49",14,"95B42",39.85416667,-75.78125,0.848972251,113.1022873,39.875,-75.8125,0.59879464,132.9590624,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,70,70,4620,0,0,0,0,0,0,0,0,0,0,0,3.165
"50",14,"95A46",39.89583333,-75.78125,0.320034238,130.8995199,39.875,-75.8125,0.59879464,132.9590624,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,69,69,4534,2,3.42,10.059,0,13,0,2,3.42,13,0,0,3.165
"51",15,"94B31",39.85416667,-75.96875,0.23424385,159.8451281,39.875,-75.9375,0.739919354,158.3469118,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,46,46,4626,0,0,0,0,0,0,0,0,0,0,0,0.27
"52",15,"94A36",39.89583333,-75.90625,0.864785335,NA,39.875,-75.9375,0.739919354,158.3469118,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,50,50,4538,2,1.08,24.14,10.1171,4,0,2,1.08,4,0,0,0.27
"53",15,"94B32",39.85416667,-75.90625,0.98860917,178.7635975,39.875,-75.9375,0.739919354,158.3469118,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,45,45,4624,0,0,0,0,0,0,0,0,0,0,0,0.27
"54",15,"94A35",39.89583333,-75.96875,0.87203906,136.4320097,39.875,-75.9375,0.739919354,158.3469118,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,49,49,4540,0,0,0,0,0,0,0,0,0,0,0,0.27
"55",16,"94A34",39.9375,-75.90625,0.904217713,171.6041972,39.95833333,-75.9375,0.805571028,184.612805,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,67,67,4451,3,16.83,93.018,2050.1375,3,0,3,16.83,3,0,0,9.125
"56",16,"94A32",39.97916667,-75.90625,0.794695714,181.8501565,39.95833333,-75.9375,0.805571028,184.612805,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,47,47,4364,6,16.42,14.485,2043.6625,14,0,6,16.42,14,0,0,9.125
"57",16,"94A31",39.97916667,-75.96875,0.608280472,203.3786659,39.95833333,-75.9375,0.805571028,184.612805,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,48,48,4366,1,0.5,0.805,0,1,0,1,0.5,1,0,0,9.125
"58",16,"94A33",39.9375,-75.96875,0.915090211,181.6182003,39.95833333,-75.9375,0.805571028,184.612805,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,64,64,4453,3,2.75,1.287,0,3,0,3,2.75,3,0,0,9.125
"59",17,"95B44",39.8125,-75.78125,0.701584057,106.1357241,39.79166667,-75.8125,0.62794763,116.88093,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,58,58,4701,2,8,12.875,0,1,0,2,8,1,0,0,3.4175
"60",17,"95B46",39.77083333,-75.78125,0.822381562,NA,39.79166667,-75.8125,0.62794763,116.88093,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,51,51,4779,3,3.42,0,20.2343,1,0,3,3.42,1,0,0,3.4175
"61",17,"94B45",39.77083333,-75.84375,0.214641458,112.2684021,39.79166667,-75.8125,0.62794763,116.88093,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,52,52,4781,1,2.25,0,28.328,1,0,1,2.25,1,0,0,3.4175
"62",17,"94B43",39.8125,-75.84375,0.773183441,132.2386637,39.79166667,-75.8125,0.62794763,116.88093,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,57,57,4703,0,0,0,0,0,0,0,0,0,0,0,3.4175
"63",18,"94B34",39.8125,-75.90625,0.879615846,149.1607475,39.79166667,-75.9375,0.629035974,148.8045745,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,54,54,4705,0,0,0,0,0,0,0,0,0,0,0,1.375
"64",18,"94B36",39.77083333,-75.90625,0.855986509,126.0679321,39.79166667,-75.9375,0.629035974,148.8045745,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,55,55,4783,2,1.5,0,2.2257,8,0,2,1.5,8,0,0,1.375
"65",18,"94B35",39.77083333,-75.96875,0.404066382,158.6845512,39.79166667,-75.9375,0.629035974,148.8045745,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,56,56,4785,0,0,0,0,0,0,0,0,0,0,0,1.375
"66",18,"94B33",39.8125,-75.96875,0.376475159,161.3050671,39.79166667,-75.9375,0.629035974,148.8045745,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,53,53,4707,1,4,4.828,0,0,0,1,4,0,0,0,1.375
"67",19,"95B53",39.8125,-75.71875,0.241828216,77.01293945,39.79166667,-75.6875,0.360680633,77.01293945,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,59,59,4699,29,99.66,75.643,839.7224,149,0,29,99.66,149,0,0,33.8466666666667
"68",19,"95B54",39.8125,-75.65625,0.763327206,NA,39.79166667,-75.6875,0.360680633,77.01293945,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,60,60,4697,0,0,0,0,0,0,0,0,0,0,0,33.8466666666667
"69",19,"95B55",39.77083333,-75.71875,0.076886478,NA,39.79166667,-75.6875,0.360680633,77.01293945,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,71,71,4777,6,1.88,1.609,0,4,0,6,1.88,4,0,0,33.8466666666667
"70",20,"94C41",39.72916667,-75.84375,0.977500248,NA,39.70833333,-75.8125,0.764122657,NA,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,61,61,4858,1,4,0,0,2,0,1,4,2,0,0,5.625
"71",20,"95C42",39.72916667,-75.78125,0.550745066,NA,39.70833333,-75.8125,0.764122657,NA,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,62,62,4856,4,7.25,0.805,12.1406,7,0,4,7.25,7,0,0,5.625
"72",21,"94C32",39.72916667,-75.90625,0.266027332,NA,39.70833333,-75.9375,0.440440434,NA,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,72,72,4860,0,0,0,0,0,0,0,0,0,0,0,0
"73",21,"94C31",39.72916667,-75.96875,0.614853536,NA,39.70833333,-75.9375,0.440440434,NA,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,73,73,4862,0,0,0,0,0,0,0,0,0,0,0,0
"74",22,"94A25",39.89583333,-76.09375,0.291722973,186.3243179,39.875,-76.0625,0.52075779,164.3392942,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,74,74,4544,0,0,0,0,0,0,0,0,0,0,0,5.2075
"75",22,"94B21",39.85416667,-76.09375,0.430912771,157.9177637,39.875,-76.0625,0.52075779,164.3392942,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,76,76,4630,11,20.83,19.633,4.0469,16,0,11,20.83,16,0,0,5.2075
"76",22,"94A26",39.89583333,-76.03125,0.671674257,188.8304024,39.875,-76.0625,0.52075779,164.3392942,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,90,90,4542,0,0,0,0,0,0,0,0,0,0,0,5.2075
"77",22,"94B22",39.85416667,-76.03125,0.688721158,124.2846928,39.875,-76.0625,0.52075779,164.3392942,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,98,98,4628,0,0,0,0,0,0,0,0,0,0,0,5.2075
"78",23,"94B12",39.85416667,-76.15625,0.735328018,179.7641544,39.875,-76.1875,0.499246385,189.061823,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,75,75,4632,2,4.67,38.623,0,2,0,2,4.67,2,0,0,4.2925
"79",23,"94B11",39.85416667,-76.21875,0.361561412,193.6209126,39.875,-76.1875,0.499246385,189.061823,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,78,78,4634,0,0,0,0,0,0,0,0,0,0,0,4.2925
"80",23,"94A15",39.89583333,-76.21875,0.154692951,197.4115524,39.875,-76.1875,0.499246385,189.061823,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,79,79,4548,0,0,0,0,0,0,0,0,0,0,0,4.2925
"81",23,"94A16",39.89583333,-76.15625,0.74540316,185.4506727,39.875,-76.1875,0.499246385,189.061823,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,89,89,4546,5,12.5,65.982,0,8,0,5,12.5,8,0,0,4.2925
"82",24,"94A11",39.97916667,-76.21875,0.046917344,120.4389725,39.95833333,-76.1875,0.398564884,144.8843507,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,97,97,4374,0,0,0,0,0,0,0,0,0,0,0,0
"83",24,"94A12",39.97916667,-76.15625,0.861227809,140.9649467,39.95833333,-76.1875,0.398564884,144.8843507,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,95,95,4372,0,0,0,0,0,0,0,0,0,0,0,0
"84",24,"94A14",39.9375,-76.15625,0.610349612,189.0812716,39.95833333,-76.1875,0.398564884,144.8843507,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,77,77,4459,0,0,0,0,0,0,0,0,0,0,0,0
"85",24,"94A13",39.9375,-76.21875,0.07576477,129.0522118,39.95833333,-76.1875,0.398564884,144.8843507,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,94,94,4461,0,0,0,0,0,0,0,0,0,0,0,0
"86",25,"93A73",39.9375,-76.34375,0.89695717,114.1611414,39.95833333,-76.3125,0.887801002,113.5881257,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,82,82,4465,0,0,0,0,0,0,0,0,0,0,0,0.3125
"87",25,"93A72",39.97916667,-76.28125,0.836823203,123.8443865,39.95833333,-76.3125,0.887801002,113.5881257,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,80,80,4376,1,1.25,1.609,0,1,0,1,1.25,1,0,0,0.3125
"88",25,"93A71",39.97916667,-76.34375,0.915678167,104.0177088,39.95833333,-76.3125,0.887801002,113.5881257,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,81,81,4378,0,0,0,0,0,0,0,0,0,0,0,0.3125
"89",25,"93A74",39.9375,-76.28125,0.901745467,112.3292661,39.95833333,-76.3125,0.887801002,113.5881257,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,119,119,4463,0,0,0,0,0,0,0,0,0,0,0,0.3125
"90",26,"93A76",39.89583333,-76.28125,0.75210924,210.3480595,39.875,-76.3125,0.568029808,172.6133852,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,83,83,4550,0,0,0,0,0,0,0,0,0,0,0,3.005
"91",26,"93A75",39.89583333,-76.34375,0.281749678,108.4974546,39.875,-76.3125,0.568029808,172.6133852,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,86,86,4552,1,0.5,0.805,0,1,0,1,0.5,1,0,0,3.005
"92",26,"93B71",39.85416667,-76.34375,0.962806138,176.6862488,39.875,-76.3125,0.568029808,172.6133852,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,84,84,4638,19,9.92,14.082,0,37,0,19,9.92,37,0,0,3.005
"93",26,"93B72",39.85416667,-76.28125,0.275454176,194.9217777,39.875,-76.3125,0.568029808,172.6133852,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,85,85,4636,16,1.6,0,0,16,0,16,1.6,16,0,0,3.005
"94",27,"93A66",39.89583333,-76.40625,0.819411765,152.356081,39.875,-76.4375,0.603825028,201.7823029,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,88,88,4554,0,0,0,0,0,0,0,0,0,0,0,0
"95",27,"93B62",39.85416667,-76.40625,0.305187544,224.8875523,39.875,-76.4375,0.603825028,201.7823029,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,87,87,4640,0,0,0,0,0,0,0,0,0,0,0,0
"96",27,"93A65",39.89583333,-76.46875,0.646592224,198.8457699,39.875,-76.4375,0.603825028,201.7823029,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,117,117,4556,0,0,0,0,0,0,0,0,0,0,0,0
"97",27,"93B61",39.85416667,-76.46875,0.644108577,231.0398083,39.875,-76.4375,0.603825028,201.7823029,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,116,116,4642,0,0,0,0,0,0,0,0,0,0,0,0
"98",28,"94A23",39.9375,-76.09375,0.229425676,213.8866272,39.95833333,-76.0625,0.445225095,179.3490467,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,92,92,4457,0,0,0,0,0,0,0,0,0,0,0,72.3175
